Value,yy,mm
1.46188094,1934,12
1.029883027,1935,1
2.137937104,1935,2
1.174211472,1935,3
1.275916124,1935,4
1.86425614,1935,5
2.177269486,1935,6
1.858002456,1935,7
1.571649553,1935,8
2.063057466,1935,9
2.280455273,1935,10
1.550255371,1935,11
1.437689057,1935,12
1.523101216,1936,1
0.69596921,1936,2
0.661409377,1936,3
0.773975691,1936,4
1.991962952,1936,5
1.689646698,1936,6
1.852077913,1936,7
1.690140409,1936,8
2.153735885,1936,9
2.196030538,1936,10
1.46188094,1936,11
2.006609738,1936,12
1.213872995,1937,1
1.137841362,1937,2
1.21765812,1937,3
1.711863733,1937,4
1.609336228,1937,5
2.505423329,1937,6
1.947528881,1937,7
1.841380822,1937,8
1.876598938,1937,9
1.752183538,1937,10
2.353030923,1937,11
1.776704563,1937,12
1.800238164,1938,1
1.475869444,1938,2
1.567699858,1938,3
1.689975839,1938,4
2.461812112,1938,5
2.685628174,1938,6
2.447494466,1938,7
2.462799535,1938,8
2.120986329,1938,9
2.276176437,1938,10
2.375412529,1938,11
2.096959016,1938,12
2.05367694,1939,1
1.893549713,1939,2
1.28003039,1939,3
1.284309226,1939,4
1.784439383,1939,5
2.092186468,1939,6
2.281936409,1939,7
2.255605107,1939,8
1.565395869,1939,9
1.676481047,1939,10
2.357309759,1939,11
0.340990353,1939,12
0.85412159,1940,1
0.369131932,1940,2
0.328976697,1940,3
0.787799624,1940,4
1.383216177,1940,5
1.203998757,1940,6
1.360999142,1940,7
1.707914038,1940,8
1.262750473,1940,9
1.544495399,1940,10
2.052360375,1940,11
0.144493017,1940,12
1.00223516,1941,1
-0.087880718,1941,2
0.17131803,1941,3
0.450923537,1941,4
1.237735737,1941,5
1.806491848,1941,6
0.906784192,1941,7
1.861293869,1941,8
1.26192762,1941,9
1.04634009,1941,10
0.9554971,1941,11
0.996804329,1941,12
0.634255223,1942,1
0.513954089,1942,2
0.458164645,1942,3
1.081558206,1942,4
2.901544845,1942,5
2.904836258,1942,6
2.794409362,1942,7
2.427416849,1942,8
2.136291398,1942,9
3.257675697,1942,10
2.262352503,1942,11
3.049164704,1942,12
2.581619533,1943,1
1.442297035,1943,2
0.893618542,1943,3
1.138005933,1943,4
2.1239486,1943,5
1.869851542,1943,6
2.032611898,1943,7
2.759520388,1943,8
2.445355048,1943,9
2.525171806,1943,10
2.269099899,1943,11
2.38347649,1943,12
1.342567231,1944,1
1.032022445,1944,2
0.875351201,1944,3
1.464843212,1944,4
2.211006466,1944,5
2.227134388,1944,6
1.792338773,1944,7
2.236514914,1944,8
2.333940729,1944,9
2.279467849,1944,10
3.468490679,1944,11
1.462539223,1944,12
2.441405353,1945,1
1.977974448,1945,2
0.940192031,1945,3
1.409053767,1945,4
1.478173433,1945,5
3.068419468,1945,6
2.232729789,1945,7
2.891341466,1945,8
1.331705569,1945,9
1.443119888,1945,10
2.281113556,1945,11
1.724535672,1945,12
1.462703794,1946,1
1.00223516,1946,2
0.525967746,1946,3
0.726743919,1946,4
1.776210851,1946,5
1.948680875,1946,6
2.324066491,1946,7
2.423960866,1946,8
1.095546709,1946,9
1.608842516,1946,10
2.011053145,1946,11
1.072506821,1946,12
1.273447565,1947,1
1.577903237,1947,2
1.650972599,1947,3
1.995583506,1947,4
1.835949991,1947,5
2.055816358,1947,6
2.341840119,1947,7
2.093832174,1947,8
2.712782328,1947,9
1.89799312,1947,10
2.551009395,1947,11
2.03047248,1947,12
1.417940581,1948,1
0.420971681,1948,2
0.645775167,1948,3
1.295335459,1948,4
1.797769604,1948,5
2.12131547,1948,6
2.008090874,1948,7
2.212652172,1948,8
1.443284459,1948,9
2.292139788,1948,10
1.849280212,1948,11
1.77588171,1948,12
1.70593919,1949,1
1.675658194,1949,2
0.742871841,1949,3
1.093901003,1949,4
2.084451648,1949,5
2.175623779,1949,6
2.065032313,1949,7
2.086261925,1949,8
2.179244333,1949,9
2.861060469,1949,10
2.224007546,1949,11
2.457204134,1949,12
1.947858022,1950,1
2.204588211,1950,2
1.424358836,1950,3
1.975505889,1950,4
2.468230366,1950,5
2.701426954,1950,6
2.876530109,1950,7
2.740923906,1950,8
2.171509513,1950,9
2.416719758,1950,10
3.306717746,1950,11
1.723219107,1950,12
2.750469003,1951,1
2.315344247,1951,2
1.129777401,1951,3
1.234773466,1951,4
1.22539294,1951,5
2.204094499,1951,6
1.272131,1951,7
1.283650944,1951,8
1.872813813,1951,9
1.679114177,1951,10
2.062234613,1951,11
1.772590297,1951,12
1.120396875,1952,1
1.220126679,1952,2
0.872553501,1952,3
0.732997603,1952,4
2.026851926,1952,5
2.077704252,1952,6
1.917577025,1952,7
2.296418625,1952,8
1.843684811,1952,9
2.026029073,1952,10
1.956415695,1952,11
0.76854486,1952,12
1.699356365,1953,1
0.37637304,1953,2
0.201434456,1953,3
0.983803249,1953,4
1.197909644,1953,5
2.279961561,1953,6
1.756462375,1953,7
1.298956013,1953,8
1.465995206,1953,9
2.229273806,1953,10
1.85898988,1953,11
1.467147201,1953,12
2.168382671,1954,1
1.289740057,1954,2
0.302974537,1954,3
1.063949148,1954,4
1.873142954,1954,5
2.34727095,1954,6
2.421327736,1954,7
2.599228591,1954,8
1.9939378,1954,9
2.661600861,1954,10
2.325218485,1954,11
2.683324185,1954,12
1.686684426,1955,1
2.962929692,1955,2
1.00750142,1955,3
1.239546014,1955,4
3.002097502,1955,5
2.773344321,1955,6
2.556933938,1955,7
2.797865346,1955,8
2.923268169,1955,9
3.389332204,1955,10
3.246978606,1955,11
2.296583195,1955,12
2.295595771,1956,1
2.044460984,1956,2
1.075139951,1956,3
2.051702092,1956,4
2.824690359,1956,5
2.413757486,1956,6
2.535539755,1956,7
2.556111085,1956,8
2.520563828,1956,9
3.033530493,1956,10
2.503777623,1956,11
1.926134698,1956,12
1.598145425,1957,1
0.392994674,1957,2
0.572541235,1957,3
0.881769456,1957,4
1.256332219,1957,5
1.40197723,1957,6
1.570497559,1957,7
1.446411301,1957,8
1.356062023,1957,9
1.783945671,1957,10
0.735137021,1957,11
1.247445404,1957,12
0.011849086,1958,1
0.262983873,1958,2
-0.240437696,1958,3
0.457506362,1958,4
1.105091806,1958,5
1.367252826,1958,6
1.534127449,1958,7
2.224994969,1958,8
1.69540667,1958,9
1.838912262,1958,10
1.5708267,1958,11
1.266041886,1958,12
0.831410842,1959,1
-0.035711828,1959,2
0.756037492,1959,3
0.509839824,1959,4
2.179573474,1959,5
1.546305675,1959,6
1.812087249,1959,7
1.933704948,1959,8
2.357145188,1959,9
2.104693836,1959,10
2.527311224,1959,11
1.733422486,1959,12
1.3814059,1960,1
1.029224744,1960,2
1.138993357,1960,3
1.17881945,1960,4
2.290329511,1960,5
1.771767444,1960,6
2.49785308,1960,7
2.371956545,1960,8
2.494397097,1960,9
2.046600402,1960,10
2.320116796,1960,11
1.899967968,1960,12
0.641990043,1961,1
1.660188554,1961,2
-0.116351438,1961,3
1.379431053,1961,4
1.72140883,1961,5
1.791845061,1961,6
2.143532506,1961,7
1.98883611,1961,8
2.078691676,1961,9
1.875446943,1961,10
2.202119651,1961,11
2.982349026,1961,12
2.640206679,1962,1
0.83091713,1962,2
0.901682503,1962,3
1.283815515,1962,4
2.542780863,1962,5
1.590081464,1962,6
2.294937489,1962,7
2.113086938,1962,8
2.117859487,1962,9
2.677564212,1962,10
1.877586361,1962,11
1.551736506,1962,12
2.006609738,1963,1
1.353099751,1963,2
0.855767296,1963,3
1.073000533,1963,4
2.039688436,1963,5
1.29039834,1963,6
1.580536367,1963,7
1.829038024,1963,8
1.05670804,1963,9
1.235267178,1963,10
2.00957201,1963,11
0.861198127,1963,12
0.556248742,1964,1
0.715059404,1964,2
0.648079156,1964,3
1.807643842,1964,4
2.161306134,1964,5
2.700933242,1964,6
2.525994659,1964,7
2.545743135,1964,8
2.76264723,1964,9
2.98070332,1964,10
2.192739125,1964,11
1.553382213,1964,12
1.254851083,1965,1
0.882263168,1965,2
0.710945138,1965,3
1.076456516,1965,4
1.35013748,1965,5
0.937065189,1965,6
0.8490199,1965,7
1.163349811,1965,8
1.27229557,1965,9
1.669075368,1965,10
0.93459663,1965,11
1.427321107,1965,12
-0.385588995,1966,1
0.148936424,1966,2
0.461126916,1966,3
0.973106158,1966,4
1.56292731,1966,5
1.626122433,1966,6
1.915108466,1966,7
2.272885024,1966,8
2.09021162,1966,9
2.154394168,1966,10
2.041992425,1966,11
2.255605107,1966,12
1.757120657,1967,1
1.91346276,1967,2
1.129283689,1967,3
1.093242721,1967,4
2.242110315,1967,5
2.354182917,1967,6
2.231413224,1967,7
2.028991345,1967,8
1.981430431,1967,9
2.172826079,1967,10
1.878409215,1967,11
1.367252826,1967,12
1.66183426,1968,1
1.18392114,1968,2
1.79414905,1968,3
1.235760889,1968,4
2.237173196,1968,5
2.612723383,1968,6
2.112757797,1968,7
2.39647757,1968,8
1.779831405,1968,9
1.767324037,1968,10
1.548445094,1968,11
1.80978326,1968,12
0.203409303,1969,1
0.209004705,1969,2
0.517739214,1969,3
0.65433284,1969,4
1.98883611,1969,5
1.605715674,1969,6
1.562433598,1969,7
1.180794298,1969,8
1.720421406,1969,9
1.654264011,1969,10
1.963327662,1969,11
1.144259617,1969,12
1.314425652,1970,1
0.665523643,1970,2
1.115459756,1970,3
0.665029931,1970,4
2.429227126,1970,5
2.35237264,1970,6
2.145836495,1970,7
2.287696381,1970,8
2.675095653,1970,9
2.679703631,1970,10
2.980867891,1970,11
2.008090874,1970,12
2.087743061,1971,1
2.267289622,1971,2
1.268839587,1971,3
1.894537137,1971,4
2.559237927,1971,5
2.312217405,1971,6
2.009242868,1971,7
2.587544076,1971,8
2.488307984,1971,9
2.215943585,1971,10
2.162458129,1971,11
1.508948142,1971,12
0.837335385,1972,1
1.355568311,1972,2
0.439732734,1972,3
0.363207389,1972,4
0.678360153,1972,5
1.177009173,1972,6
0.683297272,1972,7
0.596074836,1972,8
0.682309848,1972,9
0.59706226,1972,10
1.026097902,1972,11
0.545880792,1972,12
-0.105489776,1973,1
0.009709667,1973,2
0.631457522,1973,3
1.338617536,1973,4
1.886144034,1973,5
2.268770758,1973,6
2.637408978,1973,7
2.895949444,1973,8
2.43794937,1973,9
2.89249346,1973,10
2.932484124,1973,11
2.960131991,1973,12
2.808233296,1974,1
2.185004305,1974,2
1.473071743,1974,3
1.609500799,1974,4
2.100250429,1974,5
2.254617684,1974,6
2.57816355,1974,7
2.039359294,1974,8
2.674766512,1974,9
2.701262384,1974,10
2.261694221,1974,11
1.730624785,1974,12
0.918633278,1975,1
1.083533053,1975,2
1.305374268,1975,3
1.70857232,1975,4
2.167230677,1975,5
2.494890809,1975,6
2.634775848,1975,7
3.153502486,1975,8
3.204683953,1975,9
3.411220098,1975,10
2.674108229,1975,11
2.83012119,1975,12
1.60456368,1976,1
1.66183426,1976,2
0.935584053,1976,3
0.989727792,1976,4
1.21765812,1976,5
1.28513208,1976,6
1.273612135,1976,7
1.361328283,1976,8
1.257319642,1976,9
2.059272341,1976,10
2.178256909,1976,11
1.094230144,1976,12
0.911556741,1977,1
0.954674247,1977,2
-0.510662677,1977,3
0.950559981,1977,4
1.742967583,1977,5
1.843191099,1977,6
1.704128913,1977,7
1.405268642,1977,8
1.834304285,1977,9
1.722560824,1977,10
1.351783186,1977,11
0.499636444,1977,12
1.256496789,1978,1
-0.496674173,1978,2
0.683132701,1978,3
0.99450034,1978,4
2.293127212,1978,5
2.472838344,1978,6
2.168711813,1978,7
2.150609043,1978,8
2.145836495,1978,9
1.948516305,1978,10
1.156437844,1978,11
1.137512221,1978,12
0.606278215,1979,1
0.758670622,1979,2
0.997956324,1979,3
0.939204607,1979,4
1.51618925,1979,5
2.093832174,1979,6
1.357214017,1979,7
1.587942046,1979,8
1.557661049,1979,9
1.457931245,1979,10
1.751360685,1979,11
0.531892289,1979,12
1.012767681,1980,1
0.683132701,1980,2
-0.412414008,1980,3
0.551311623,1980,4
1.766830325,1980,5
1.539229138,1980,6
1.336478117,1980,7
1.018692223,1980,8
1.38650759,1980,9
1.907867358,1980,10
2.164432976,1980,11
1.928438687,1980,12
1.379101912,1981,1
0.403362624,1981,2
-0.019090194,1981,3
0.799977851,1981,4
2.119998905,1981,5
2.038371871,1981,6
2.1032127,1981,7
1.978797301,1981,8
1.883181763,1981,9
1.878573785,1981,10
2.278315855,1981,11
1.121878011,1981,12
1.40987662,1982,1
0.360409688,1982,2
0.293758581,1982,3
0.801458987,1982,4
0.953851394,1982,5
0.774798544,1982,6
0.874857489,1982,7
0.50358614,1982,8
0.742871841,1982,9
0.731845609,1982,10
0.267262709,1982,11
-0.211473264,1982,12
-1.495124208,1983,1
-1.387659584,1983,2
-0.938217183,1983,3
0.075867062,1983,4
0.661244807,1983,5
0.902011644,1983,6
1.283650944,1983,7
1.599626561,1983,8
1.899145114,1983,9
2.425771143,1983,10
1.781806253,1983,11
1.551901077,1983,12
2.243097739,1984,1
1.628261851,1984,2
0.439732734,1984,3
1.158906403,1984,4
1.928767829,1984,5
2.014673699,1984,6
2.284569539,1984,7
2.690400722,1984,8
2.098933864,1984,9
2.021256525,1984,10
2.267618764,1984,11
1.550419941,1984,12
1.713838581,1985,1
2.421656877,1985,2
0.284048914,1985,3
1.852242484,1985,4
2.224501258,1985,5
1.664796532,1985,6
1.868370406,1985,7
2.372943969,1985,8
2.042156995,1985,9
1.514378973,1985,10
1.990152675,1985,11
1.732599633,1985,12
1.612133929,1986,1
0.533373424,1986,2
1.02823732,1986,3
0.832891978,1986,4
1.445588448,1986,5
2.427416849,1986,6
1.80978326,1986,7
1.792832485,1986,8
1.348656344,1986,9
1.749056696,1986,10
0.863995828,1986,11
0.715882257,1986,12
0.130504513,1987,1
-0.895099677,1987,2
-0.469684589,1987,3
-0.066157395,1987,4
0.266439856,1987,5
1.104762665,1987,6
0.227272045,1987,7
0.977714136,1987,8
1.081558206,1987,9
1.490516231,1987,10
1.668417086,1987,11
0.71933824,1987,12
1.063126295,1988,1
0.45684808,1988,2
1.367088255,1988,3
1.089786737,1988,4
2.206398488,1988,5
1.91889359,1988,6
2.636256983,1988,7
2.372779399,1988,8
3.05327897,1988,9
2.84312227,1988,10
2.805271024,1988,11
2.321927073,1988,12
2.359284607,1989,1
1.151007013,1989,2
1.50598587,1989,3
1.451677561,1989,4
2.638560972,1989,5
2.10568126,1989,6
2.394173581,1989,7
2.057132923,1989,8
1.989000681,1989,9
2.526488371,1989,10
1.749385838,1989,11
1.514049831,1989,12
0.618621013,1990,1
0.326178996,1990,2
-0.168191188,1990,3
0.944964579,1990,4
1.883510904,1990,5
1.408560055,1990,6
1.938971208,1990,7
2.006445168,1990,8
1.675987335,1990,9
2.297241478,1990,10
1.695900382,1990,11
1.436701633,1990,12
1.438182769,1991,1
0.416034562,1991,2
0.166545481,1991,3
0.873376354,1991,4
1.327591303,1991,5
1.687507279,1991,6
1.494136785,1991,7
2.083793366,1991,8
1.151500725,1991,9
1.361492854,1991,10
0.8697558,1991,11
0.203244733,1991,12
-1.208935876,1992,1
-0.455531514,1992,2
-1.038276129,1992,3
0.137087338,1992,4
0.905303057,1992,5
1.099660975,1992,6
1.249913964,1992,7
1.937819213,1992,8
1.662657114,1992,9
1.654757723,1992,10
1.236419172,1992,11
0.59706226,1992,12
0.533702566,1993,1
0.260021601,1993,2
0.117997144,1993,3
0.253109635,1993,4
1.378114488,1993,5
1.021654495,1993,6
1.759589217,1993,7
1.150842442,1993,8
1.248432828,1993,9
1.085178759,1993,10
2.128721149,1993,11
1.364784266,1993,12
1.333022134,1994,1
1.423206841,1994,2
0.282567778,1994,3
0.707324584,1994,4
1.132904243,1994,5
1.763374342,1994,6
1.452500414,1994,7
1.364125984,1994,8
0.904973915,1994,9
1.154133855,1994,10
1.321173048,1994,11
0.509181541,1994,12
0.475609132,1995,1
0.838816521,1995,2
0.740567852,1995,3
0.72707306,1995,4
1.475704874,1995,5
2.024547937,1995,6
2.237502338,1995,7
2.02273766,1995,8
2.142215941,1995,9
2.642510667,1995,10
2.570264159,1995,11
1.832000296,1995,12
1.922349574,1996,1
1.374000222,1996,2
1.051277209,1996,3
1.641592072,1996,4
1.766172042,1996,5
2.009407439,1996,6
2.465432665,1996,7
2.113086938,1996,8
2.730226815,1996,9
2.240464609,1996,10
2.289342087,1996,11
1.68503872,1996,12
1.954934559,1997,1
1.421890276,1997,2
-0.161279221,1997,3
0.179875703,1997,4
0.790268184,1997,5
0.369625644,1997,6
0.240437696,1997,7
0.317292182,1997,8
0.099894375,1997,9
-0.068625954,1997,10
0.196332766,1997,11
0.01826734,1997,12
-0.837993667,1998,1
-1.279536678,1998,2
-0.69580464,1998,3
0.405666612,1998,4
1.677633041,1998,5
1.993773229,1998,6
2.521880393,1998,7
1.949010016,1998,8
1.656074288,1998,9
2.44831732,1998,10
2.565820752,1998,11
2.316989954,1998,12
3.036657335,1999,1
1.564737586,1999,2
2.069804862,1999,3
1.866560129,1999,4
2.099921288,1999,5
1.724535672,1999,6
2.314356824,1999,7
1.647845757,1999,8
2.23305893,1999,9
2.787991108,1999,10
2.772192327,1999,11
2.841147422,1999,12
2.529944354,2000,1
2.37821023,2000,2
1.636161242,2000,3
2.067994585,2000,4
2.213145884,2000,5
1.65903656,2000,6
2.442228206,2000,7
2.00447032,2000,8
1.974353894,2000,9
2.372121116,2000,10
2.959638279,2000,11
2.088401343,2000,12
2.701920666,2001,1
1.306361691,2001,2
1.171249201,2001,3
1.047162943,2001,4
1.93683179,2001,5
2.088565914,2001,6
2.245730869,2001,7
2.167559818,2001,8
1.893056001,2001,9
2.531260919,2001,10
2.329826463,2001,11
0.634255223,2001,12
1.813074673,2002,1
1.10361067,2002,2
0.709464002,2002,3
1.334832411,2002,4
1.12681513,2002,5
1.940781485,2002,6
1.571320412,2002,7
1.426498254,2002,8
0.836841673,2002,9
1.521126369,2002,10
1.811922679,2002,11
0.92422868,2002,12
0.644129461,2003,1
0.534525419,2003,2
0.136099914,2003,3
1.272131,2003,4
1.712192874,2003,5
1.658378277,2003,6
1.906879934,2003,7
2.181548322,2003,8
1.554534207,2003,9
2.18368774,2003,10
1.720421406,2003,11
1.367581967,2003,12
1.527709194,2004,1
1.35523917,2004,2
0.745998683,2004,3
1.141297346,2004,4
2.141393087,2004,5
1.250901388,2004,6
1.615589912,2004,7
1.798592457,2004,8
1.570332988,2004,9
1.816036944,2004,10
1.622995591,2004,11
1.619868749,2004,12
1.89535999,2005,1
-0.305772238,2005,2
1.524417781,2005,3
0.686424114,2005,4
1.799909022,2005,5
2.251819983,2005,6
2.227134388,2005,7
2.05384151,2005,8
2.465103524,2005,9
3.181150352,2005,10
3.216697609,2005,11
3.601957463,2005,12
2.733353657,2006,1
1.824265476,2006,2
2.030143339,2006,3
1.819657498,2006,4
2.268112475,2006,5
2.507891889,2006,6
2.446671613,2006,7
1.630236699,2006,8
1.92136215,2006,9
1.571484982,2006,10
2.254123972,2006,11
2.664233991,2006,12
0.877819761,2007,1
1.570332988,2007,2
1.22029125,2007,3
2.055487217,2007,4
2.368171421,2007,5
3.598995191,2007,6
2.948282905,2007,7
2.983007309,2007,8
3.267879076,2007,9
3.806518761,2007,10
3.373204282,2007,11
4.756914171,2007,12
3.230850683,2008,1
3.68177422,2008,2
2.674931082,2008,3
2.313698541,2008,4
2.450127597,2008,5
2.406187237,2008,6
3.045215008,2008,7
2.697970971,2008,8
2.478104604,2008,9
3.375672841,2008,10
3.741677931,2008,11
3.717650618,2008,12
2.943181215,2009,1
2.389401033,2009,2
1.535114872,2009,3
1.950326582,2009,4
2.73664507,2009,5
2.192080843,2009,6
2.283088403,2009,7
2.329332751,2009,8
2.090705332,2009,9
1.682076448,2009,10
2.165091259,2009,11
1.618223042,2009,12
-0.193535065,2010,1
-0.529917441,2010,2
0.105983488,2010,3
1.220620391,2010,4
3.102156448,2010,5
3.790390838,2010,6
4.248720054,2010,7
4.129900056,2010,8
4.03757593,2010,9
4.89959691,2010,10
4.620320545,2010,11
5.424248091,2010,12
3.821659259,2011,1
3.535964639,2011,2
3.184770906,2011,3
2.759684959,2011,4
2.638725543,2011,5
2.990577558,2011,6
3.106435284,2011,7
3.065950908,2011,8
3.415992646,2011,9
3.684736492,2011,10
4.096163076,2011,11
3.952492913,2011,12
3.760438983,2012,1
3.290589823,2012,2
1.617729331,2012,3
1.788059937,2012,4
2.195701397,2012,5
2.238654332,2012,6
2.158508433,2012,7
2.271239318,2012,8
2.468888649,2012,9
2.72874568,2012,10
3.064798914,2012,11
2.793257368,2012,12
1.742967583,2013,1
2.283746686,2013,2
1.429625096,2013,3
2.038536441,2013,4
3.069736033,2013,5
3.318566831,2013,6
3.498607105,2013,7
2.937092102,2013,8
2.975930772,2013,9
2.732530804,2013,10
3.248459741,2013,11
3.18575833,2013,12
1.914943895,2014,1
1.668252515,2014,2
1.291879476,2014,3
0.980347266,2014,4
2.389565603,2014,5
2.561541916,2014,6
2.617495931,2014,7
2.511841584,2014,8
2.142709653,2014,9
2.564668758,2014,10
2.467242942,2014,11
1.999039489,2014,12
0.805902394,2015,1
0.824169734,2015,2
0.03373698,2015,3
0.125567394,2015,4
0.279770078,2015,5
0.482685669,2015,6
0.689057244,2015,7
0.059245428,2015,8
-0.009215955,2015,9
0.156671243,2015,10
0.220524649,2015,11
-1.112497485,2015,12
-0.421959105,2016,1
-1.579055232,2016,2
-0.267591851,2016,3
0.228917752,2016,4
1.750702403,2016,5
2.127075442,2016,6
2.540970586,2016,7
2.540147733,2016,8
2.845919971,2016,9
2.61716679,2016,10
2.666867121,2016,11
2.74437989,2016,12
2.659461443,2017,1
1.443284459,2017,2
1.022641919,2017,3
0.291619163,2017,4
2.135139403,2017,5
1.728814508,2017,6
2.239970897,2017,7
2.606469699,2017,8
2.566643605,2017,9
2.591658342,2017,10
3.815899287,2017,11
3.050481269,2017,12
3.118119799,2018,1
1.700179218,2018,2
1.242672856,2018,3
2.215614443,2018,4
2.439595076,2018,5
1.975012177,2018,6
2.603342857,2018,7
2.464938954,2018,8
1.493807643,2018,9
1.982582426,2018,10
1.69030498,2018,11
2.260706797,2018,12
1.121219728,2019,1
-0.21278983,2019,2
-0.303632819,2019,3
1.039098982,2019,4
1.381076759,2019,5
1.800238164,2019,6
2.112922368,2019,7
2.101237853,2019,8
1.736220187,2019,9
2.324066491,2019,10
1.949010016,2019,11
1.951643147,2019,12
